rank,title,artist,genre,weeks_on_chart,date
1,God's Plan,Drake,Hip-Hop/Rap,11,2024-07-17
2,Bohemian Rhapsody,Queen,Rock,11,2024-07-17
3,One Kiss,Calvin Harris & Dua Lipa,Electronic/Dance,14,2024-07-17
4,Break My Soul,Beyoncé,Pop,23,2024-07-17
5,The Box,Roddy Ricch,Hip-Hop/Rap,16,2024-07-17
6,Hype Boy,NewJeans,K-Pop,21,2024-07-17
7,Good Days,SZA,R&B/Soul,10,2024-07-17
8,Industry Baby,Lil Nas X ft. Jack Harlow,Hip-Hop/Rap,22,2024-07-17
9,White Iverson,Post Malone,Alternative,25,2024-07-17
10,You Proof,Morgan Wallen,Country,9,2024-07-17
11,Ditto,NewJeans,K-Pop,11,2024-07-17
12,Die For You,The Weeknd,R&B/Soul,12,2024-07-17
13,Anti-Hero,Taylor Swift,Pop,14,2024-07-17
14,She Had Me At Heads Carolina,Cole Swindell,Country,15,2024-07-17
15,Levitating,Dua Lipa,Electronic/Dance,7,2024-07-17
16,Til You Can't,Cody Johnson,Country,6,2024-07-17
17,I Fall Apart,Post Malone,Alternative,8,2024-07-17
18,Levitating,Dua Lipa,Electronic/Dance,11,2024-07-17
19,Mood,24kGoldn ft. Iann Dior,Hip-Hop/Rap,15,2024-07-17
20,Buy Dirt,Jordan Davis ft. Luke Bryan,Country,14,2024-07-17
21,Seven Nation Army,The White Stripes,Rock,4,2024-07-17
22,Me Porto Bonito,Bad Bunny & Chencho Corleone,Latin,10,2024-07-17
23,OMG,NewJeans,K-Pop,11,2024-07-17
24,HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,4,2024-07-17
25,Go Flex,Post Malone,Alternative,15,2024-07-17
26,Smells Like Teen Spirit,Nirvana,Rock,11,2024-07-17
27,Savage,Megan Thee Stallion,Hip-Hop/Rap,15,2024-07-17
28,Shirt,SZA,R&B/Soul,7,2024-07-17
29,She Had Me At Heads Carolina,Cole Swindell,Country,3,2024-07-17
30,La Corriente,Bad Bunny & Tony Dize,Latin,13,2024-07-17
31,Savage,Megan Thee Stallion,Hip-Hop/Rap,11,2024-07-17
32,Industry Baby,Lil Nas X ft. Jack Harlow,Hip-Hop/Rap,15,2024-07-17
33,Hold On,Justin Bieber,Pop,5,2024-07-17
34,Hold On,Justin Bieber,Pop,11,2024-07-17
35,Congratulations,Post Malone ft. Quavo,Pop,4,2024-07-17
36,Running Up That Hill,Kate Bush,Rock,7,2024-07-17
37,Break My Soul,Beyoncé,Pop,10,2024-07-17
38,Dynamite,BTS,K-Pop,10,2024-07-17
39,Flowers,Miley Cyrus,Pop,14,2024-07-17
40,Stay,The Kid LAROI & Justin Bieber,Electronic/Dance,14,2024-07-17
41,Me Porto Bonito,Bad Bunny & Chencho Corleone,Latin,14,2024-07-17
42,OMG,NewJeans,K-Pop,4,2024-07-17
43,CUFF IT,Beyoncé,R&B/Soul,7,2024-07-17
44,New Jeans,NewJeans,K-Pop,5,2024-07-17
45,Essence,WizKid ft. Tems,R&B/Soul,14,2024-07-17
46,You Proof,Morgan Wallen,Country,7,2024-07-17
47,Rich Flex,Drake & 21 Savage,R&B/Soul,15,2024-07-17
48,Congratulations,Post Malone ft. Quavo,Pop,7,2024-07-17
49,Bohemian Rhapsody,Queen,Rock,5,2024-07-17
50,Better Now,Post Malone,Alternative,5,2024-07-17
51,Wonderwall,Oasis,Rock,7,2024-07-17
52,Good Days,SZA,R&B/Soul,4,2024-07-17
53,Hold Me Closer,Elton John & Britney Spears,Pop,3,2024-07-17
54,As It Was,Harry Styles,Pop,5,2024-07-17
55,Creepin',"Metro Boomin, The Weeknd, 21 Savage",R&B/Soul,8,2024-07-17
56,HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,6,2024-07-17
57,New Rules,Dua Lipa,Electronic/Dance,5,2024-07-17
58,Rich Flex,Drake & 21 Savage,R&B/Soul,4,2024-07-17
59,Sunflower,Post Malone & Swae Lee,Pop,7,2024-07-17
60,Smells Like Teen Spirit,Nirvana,Rock,5,2024-07-17
61,Mood,24kGoldn ft. Iann Dior,Hip-Hop/Rap,5,2024-07-17
62,Kill Bill,SZA,R&B/Soul,7,2024-07-17
63,Tití Me Preguntó,Bad Bunny,Latin,6,2024-07-17
64,Savage,Megan Thee Stallion,Hip-Hop/Rap,2,2024-07-17
65,Sunflower,Post Malone & Swae Lee,Pop,4,2024-07-17
66,One Kiss,Calvin Harris & Dua Lipa,Electronic/Dance,1,2024-07-17
67,Creepin',"Metro Boomin, The Weeknd, 21 Savage",R&B/Soul,7,2024-07-17
