rank,title,artist,genre,weeks_on_chart,date,week_number,year
1,As It Was,Miley Cyrus,Pop,9,2025-01-15,3,2025
2,Dynamite,Justin Bieber,Pop,13,2025-01-15,3,2025
3,Pink Venom,Harry Styles,Hip-Hop/Rap,19,2025-01-15,3,2025
4,Kill Bill,Morgan Wallen,Pop,9,2025-01-15,3,2025
5,Late Night Talking,Miley Cyrus,Hip-Hop/Rap,9,2025-01-15,3,2025
6,Hold Me Closer,Ed Sheeran,R&B/Soul,14,2025-01-15,3,2025
7,Pink Venom,Justin Bieber,Pop,18,2025-01-15,3,2025
8,Late Night Talking,Morgan Wallen,R&B/Soul,4,2025-01-15,3,2025
9,Pink Venom,Bad Bunny,Hip-Hop/Rap,8,2025-01-15,3,2025
10,Last Night,Taylor Swift,Pop,4,2025-01-15,3,2025
11,Anti-Hero,Drake,R&B/Soul,5,2025-01-15,3,2025
12,As It Was,Morgan Wallen,Hip-Hop/Rap,2,2025-01-15,3,2025
13,Pink Venom,Dua Lipa,R&B/Soul,20,2025-01-15,3,2025
14,Break My Soul,BTS,Rock,10,2025-01-15,3,2025
15,About Damn Time,Doja Cat,Pop,6,2025-01-15,3,2025
16,Flowers,BTS,Pop,19,2025-01-15,3,2025
17,Late Night Talking,Olivia Rodrigo,Rock,6,2025-01-15,3,2025
18,Pink Venom,Lil Baby,Hip-Hop/Rap,12,2025-01-15,3,2025
19,Kill Bill,Post Malone,Rock,17,2025-01-15,3,2025
20,Late Night Talking,Blackpink,Country,4,2025-01-15,3,2025
21,Last Night,Miley Cyrus,Country,19,2025-01-15,3,2025
22,Kill Bill,Taylor Swift,Pop,12,2025-01-15,3,2025
23,Flowers,Ariana Grande,Country,9,2025-01-15,3,2025
24,About Damn Time,Harry Styles,R&B/Soul,13,2025-01-15,3,2025
25,Flowers,Lil Baby,Rock,7,2025-01-15,3,2025
26,About Damn Time,Morgan Wallen,R&B/Soul,7,2025-01-15,3,2025
27,Unholy,Blackpink,R&B/Soul,12,2025-01-15,3,2025
28,As It Was,Kendrick Lamar,R&B/Soul,1,2025-01-15,3,2025
29,Hold Me Closer,Ed Sheeran,Pop,19,2025-01-15,3,2025
30,Hold Me Closer,Ariana Grande,Pop,14,2025-01-15,3,2025
31,HUMBLE.,Olivia Rodrigo,Hip-Hop/Rap,9,2025-01-15,3,2025
32,Vampire,Morgan Wallen,Rock,11,2025-01-15,3,2025
33,As It Was,Kendrick Lamar,Pop,12,2025-01-15,3,2025
34,Kill Bill,BTS,Pop,12,2025-01-15,3,2025
35,HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,13,2025-01-15,3,2025
36,Kill Bill,Taylor Swift,Hip-Hop/Rap,20,2025-01-15,3,2025
37,Unholy,Miley Cyrus,Pop,7,2025-01-15,3,2025
38,Break My Soul,Bad Bunny,Rock,3,2025-01-15,3,2025
39,Late Night Talking,Ed Sheeran,Pop,20,2025-01-15,3,2025
40,Dynamite,Ariana Grande,R&B/Soul,13,2025-01-15,3,2025
